"symbClass_id"	"charClass_id"	"charClass"	"chars"	"charClass_description"
1	1	"w_atom_oar"	"b, c, n, o, p, s"	"Characters describing Single character atom symbols of organic (from so called organic subset) aromatic atoms lacking the additional features"
2	2	"w_atom_oal"	"B, C, F, I, N, O, P, S"	"Characters describing Single character atom symbols of organic aliphatic atoms lacking the additional features"
3	3	"w_atom_bar"	"b, c, n, o, p, s"	"Characters describing Single character atom symbols of in-bracket aromatic atoms"
4	4	"w_atom_bal"	"B, C, F, H, I, K, N, O, P, S, U, V, W, Y"	"Characters describing Single character atom symbols of in-bracket aliphatic atoms"
5	5	"s_atom_oal"	"B, C"	"Characters describing Two character atom symbols of organic aliphatic atoms lacking the additional features"
5	6	"e_atom_oal"	"l, r"	"Characters describing Two character atom symbols of organic aliphatic atoms lacking the additional features"
6	7	"s_atom_bar"	"a, s, t"	"Characters describing Two character atom symbols of bracket aromatic atoms"
6	8	"e_atom_bar"	"e, s"	"Characters describing Two character atom symbols of bracket aromatic atoms"
7	9	"s_atom_bal"	"A, B, C, D, E, F, G, H, I, K, L, M, N, O, P, R, S, T, X, Y, Z"	"Characters describing Two character atom symbols of in-bracket aliphatic atoms"
7	10	"e_atom_bal"	"a, b, c, d, e, f, g, h, i, k, l, m, n, o, p, r, s, t, u, v, y"	"Characters describing Two character atom symbols of in-bracket aliphatic atoms"
8	11	"w_anything"	"*"	"Characters describing Single character symbol of any atom or basically anything"
9	12	"s_bracket"	"["	"Characters describing Single character symbol of square bracket"
9	13	"e_bracket"	"]"	"Characters describing Single character symbol of square bracket"
10	14	"w_single_bond"	"-"	"Characters describing Single character symbol of single bond"
11	15	"w_double_bond"	"="	"Characters describing Single character symbol of double bond"
12	16	"w_triple_bond"	"#"	"Characters describing Single character symbol of triple bond"
13	17	"w_quadruple_bond"	"$"	"Characters describing Single character symbol of quadruple bond"
14	18	"w_aromatic_bond"	":"	"Characters describing Single character symbol of aromatic bond"
15	19	"w_no_bond"	"."	"Characters describing Single character symbol of no bond"
16	20	"w_bm_ibi"	"("	"Characters describing Single character bond multiplying symbols initiators of branching with implicit bond"
17	21	"w_bm_iri"	"0, 1, 2, 3, 4, 5, 6, 7, 8, 9"	"Characters describing Single character bond multiplying symbols initiators of rings with implicit bond"
18	22	"w_bm_tbi"	")"	"Characters describing Single character bond multiplying symbols terminators of branching with implicit bond"
