			atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	atom__symbol	anything__symbol	bracket__symbol	bracket__symbol	bond__symbol	bond__symbol	bond__symbol	bond__symbol	bond__symbol	bond__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	modifier__symbol	cis_trans__symbol	cis_trans__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol	features__symbol
			atom_oar	atom_oal	atom_bar	atom_bal	atom_oal_2	atom_oal_2	atom_bar_2	atom_bar_2	atom_bal_2	atom_bal_2	anything	bracket	bracket	single_bond	double_bond	triple_bond	quadruple_bond	aromatic_bond	no_bond	bm_ibi	bm_iri	bm_tbi	bm_tri	bm_ibe_2	bm_ibe_2	bm_ire_2	bm_ire_2	bm_iri_3	bm_iri_3	bm_ire_4	bm_ire_4	bm_ire_4	bm_tbe_2	bm_tbe_2	bm_tre_2	bm_tre_2	bm_tre_4	bm_tre_4	bm_tre_4	bm_tri_3	bm_tri_3	ct	ct	isotope	isotope_m	isotope_m	chiral	chiral_2	chiral_2	chiral_m	chiral_m	chiral_m	hydro	hydro_2	hydro_2	charge	charge_2	charge_2	charge_m	charge_m	class_m	class_m
			w_atom_oar	w_atom_oal	w_atom_bar	w_atom_bal	s_atom_oal	e_atom_oal	s_atom_bar	e_atom_bar	s_atom_bal	e_atom_bal	w_anything	s_bracket	e_bracket	w_single_bond	w_double_bond	w_triple_bond	w_quadruple_bond	w_aromatic_bond	w_no_bond	w_bm_ibi	w_bm_iri	w_bm_tbi	w_bm_tri	s_bm_ibe	e_bm_ibe	s_bm_ire	e_bm_ire	s_bm_iri	r_bm_iri	s_bm_ire_4	n_bm_ire	r_bm_ire	s_bm_tbe	e_bm_tbe	s_bm_tre	e_bm_tre	s_bm_tre_4	n_bm_tre	r_bm_tre	s_bm_tri	r_bm_tri	l_ct	r_ct	w_isotope	s_isotope	r_isotope	w_chiral	s_chiral	e_chiral	s_chiral_m	m_chiral	r_chiral	w_hydro	s_hydro	e_hydro	w_charge	s_charge	e_charge	s_charge_m	r_charge	s_class	r_class
atom__symbol 	 atom_oar 	 w_atom_oar 	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_oal 	 w_atom_oal 	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bar 	 w_atom_bar 	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bal 	 w_atom_bal 	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_oal_2 	 s_atom_oal 	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_oal_2 	 e_atom_oal 	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bar_2 	 s_atom_bar 	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bar_2 	 e_atom_bar 	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bal_2 	 s_atom_bal 	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
atom__symbol 	 atom_bal_2 	 e_atom_bal 	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
