id	superclass	symbols	class	class_chars	description
1	atom_oar	'b', 'c', 'n', 'o', 's', 'p'	w_atom_oar	'b', 'c', 'n', 'o', 's', 'p'	Single character atom symbols of organic (from so called organic subset) aromatic atoms lacking the additional grammatical requirements and features
2	atom_oal	'B', 'C', 'N', 'O', 'S', 'P', 'F', 'I'	w_atom_oal	'B', 'C', 'N', 'O', 'S', 'P', 'F', 'I'	Single character atom symbols of organic aliphatic atoms lacking the additional grammatical requirements and features
3	atom_bar	'b', 'c', 'n', 'o', 's', 'p'	w_atom_bar	'b', 'c', 'n', 'o', 's', 'p'	Single character atom symbols of aromatic atoms enclosed within brackets
4	atom_bal	'H', 'B', 'C', 'N', 'O', 'F', 'P', 'S', 'K', 'V', 'Y', 'I', 'W', 'U'	w_atom_bal	'H', 'B', 'C', 'N', 'O', 'F', 'P', 'S', 'K', 'V', 'Y', 'I', 'W', 'U'	Single character atom symbols of bracket aliphatic atoms
5	atom_oal	'Cl', 'Br'	s_atom_oal	"""C"", ""B"""	"Two character atom symbols of organic aliphatic atoms lacking the additional grammatical requirements and features; start"
6	atom_oal	'Cl', 'Br'	e_atom_oal	"""l"", ""r"""	"Two character atom symbols of organic aliphatic atoms lacking the additional grammatical requirements and features; end"
7	atom_bar	'se', 'as', 'te'	s_atom_bar	"""s"", ""a"", ""t"""	"Two character atom symbols of aromatic atoms, which should be enclosed within the square brackets; start"
8	atom_bar	'se', 'as', 'te'	e_atom_bar	"""e"", ""s"""	"Two character atom symbols of aromatic atoms, which should be enclosed within the square brackets; end"
9	atom_bal	He', 'Li', 'Be', 'Ne', 'Na', 'Mg', 'Al', 'Si', 'Cl', 'Ar', 'Ca', 'Sc', 'Ti', 'Cr', 'Mn', 'Fe', 'Co', 'Ni', 'Cu', 'Zn', 'Ga', 'Ge', 'As', 'Se', 'Br', 'Kr', 'Rb', 'Sr', 'Zr', 'Nb', 'Mo', 'Tc', 'Ru', 'Rh', 'Pd', 'Ag', 'Cd', 'In', 'Sn', 'Sb', 'Te', 'Xe', 'Cs', 'Ba', 'Hf', 'Ta', 'Re', 'Os', 'Ir', 'Pt', 'Au', 'Hg', 'Tl', 'Pb', 'Bi', 'Po', 'At', 'Rn', 'Fr', 'Ra', 'Rf', 'Db', 'Sg', 'Bh', 'Hs', 'Mt', 'Ds', 'Rg', 'Cn', 'Fl', 'Lv', 'La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Ac', 'Th', 'Pa', 'Np', 'Pu', 'Am', 'Cm', 'Bk', 'Cf', 'Es', 'Fm', 'Md', 'No', 'Lr'	s_atom_bal	"""H"", ""L"", ""B"", ""N"", ""M"", ""A"", ""S"", ""C"", ""T"", ""F"", ""Z"", ""G"", ""K"", ""R"", ""P"", ""I"", ""X"", ""O"", ""D"", ""E"", ""Y"""	"Two character atom symbols of aliphatic atoms, which should be enclosed within the square brackets; start"
10	atom_bal	He', 'Li', 'Be', 'Ne', 'Na', 'Mg', 'Al', 'Si', 'Cl', 'Ar', 'Ca', 'Sc', 'Ti', 'Cr', 'Mn', 'Fe', 'Co', 'Ni', 'Cu', 'Zn', 'Ga', 'Ge', 'As', 'Se', 'Br', 'Kr', 'Rb', 'Sr', 'Zr', 'Nb', 'Mo', 'Tc', 'Ru', 'Rh', 'Pd', 'Ag', 'Cd', 'In', 'Sn', 'Sb', 'Te', 'Xe', 'Cs', 'Ba', 'Hf', 'Ta', 'Re', 'Os', 'Ir', 'Pt', 'Au', 'Hg', 'Tl', 'Pb', 'Bi', 'Po', 'At', 'Rn', 'Fr', 'Ra', 'Rf', 'Db', 'Sg', 'Bh', 'Hs', 'Mt', 'Ds', 'Rg', 'Cn', 'Fl', 'Lv', 'La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Ac', 'Th', 'Pa', 'Np', 'Pu', 'Am', 'Cm', 'Bk', 'Cf', 'Es', 'Fm', 'Md', 'No', 'Lr'	e_atom_bal	"""e"", ""i"", ""a"", ""g"", ""l"", ""r"", ""c"", ""n"", ""o"", ""u"", ""s"", ""b"", ""h"", ""d"", ""f"", ""t"", ""v"", ""m"", ""y"", ""p"", ""k"""	"Two character atom symbols of aliphatic atoms, which should be enclosed within the square brackets; end"
11	anything	'*'	anything	'*'	Single character symbol of any atom or basically anything
12	bracket	'[', ']'	bracket_start	'['	"Single character square bracket symbols; open"
13	bracket	'[', ']'	bracket_end	]'	"Single character square bracket symbols; close"
14	single_bond	"""-"""	single_bond	"""-"""	Single character bond symbol corresponding to the single bond
15	double_bond	"""="""	double_bond	"""="""	Single character bond symbol corresponding to the double bond
16	triple_bond	"""#"""	triple_bond	"""#"""	Single character bond symbol corresponding to the triple bond
17	quadruple_bond	"""$"""	quadruple_bond	"""$"""	Single character symbol corresponding to the quadruple bond
18	aromatic_bond_obsolete	""":"""	aromatic_bond_obsolete	""":"""	Single character symbol corresponding to the aromatic bond
19	no_bond	"""."""	no_bond	"""."""	Single character symbol corresponding to the absence of the bond between the two specific atoms
20	w_bm_ibi	"""("""	w_bm_ibi	"""("""	Single character bond multiplying symbols initiators of branching with implicit bond
