classpairs_forbidden	reason
atom_oal -> atom_bal	out-of-bracket -> in-bracket atoms
atom_oal -> atom_bal_2	out-of-bracket -> in-bracket atoms
atom_oal -> atom_bar_2	out-of-bracket -> in-bracket atoms
atom_oal_2 -> atom_bal	out-of-bracket -> in-bracket atoms
atom_oal_2 -> atom_bal_2	out-of-bracket -> in-bracket atoms
atom_oal_2 -> atom_bar	out-of-bracket -> in-bracket atoms
atom_oal_2 -> atom_bar_2	out-of-bracket -> in-bracket atoms
atom_oar -> atom_bal	out-of-bracket -> in-bracket atoms
atom_oar -> atom_bal_2	out-of-bracket -> in-bracket atoms
atom_oar -> atom_bar	out-of-bracket -> in-bracket atoms
atom_oar -> atom_bar_2	out-of-bracket -> in-bracket atoms
atom_bal -> atom_oal	in-bracket -> out-of-bracket atoms
atom_bal -> atom_oal_2	in-bracket -> out-of-bracket atoms
atom_bal -> atom_oar	in-bracket -> out-of-bracket atoms
atom_bal_2 -> atom_oal	in-bracket -> out-of-bracket atoms
atom_bal_2 -> atom_oal_2	in-bracket -> out-of-bracket atoms
atom_bal_2 -> atom_oar	in-bracket -> out-of-bracket atoms
atom_bar -> atom_oal	in-bracket -> out-of-bracket atoms
atom_bar -> atom_oal_2	in-bracket -> out-of-bracket atoms
atom_bar -> atom_oar	in-bracket -> out-of-bracket atoms
atom_bar_2 -> atom_oal	in-bracket -> out-of-bracket atoms
atom_bar_2 -> atom_oal_2	in-bracket -> out-of-bracket atoms
atom_bar_2 -> atom_oar	in-bracket -> out-of-bracket atoms
atom_bal -> atom_bal	in-bracket -> in-bracket atoms
atom_bal -> atom_bal_2	in-bracket -> in-bracket atoms
atom_bal -> atom_bar	in-bracket -> in-bracket atoms
atom_bal -> atom_bar_2	in-bracket -> in-bracket atoms
atom_bal_2 -> atom_bal	in-bracket -> in-bracket atoms
atom_bal_2 -> atom_bal_2	in-bracket -> in-bracket atoms
atom_bal_2 -> atom_bar	in-bracket -> in-bracket atoms
atom_bal_2 -> atom_bar_2	in-bracket -> in-bracket atoms
atom_bar -> atom_bal	in-bracket -> in-bracket atoms
atom_bar -> atom_bal_2	in-bracket -> in-bracket atoms
atom_bar -> atom_bar	in-bracket -> in-bracket atoms
atom_bar -> atom_bar_2	in-bracket -> in-bracket atoms
atom_bar_2 -> atom_bal	in-bracket -> in-bracket atoms
atom_bar_2 -> atom_bal_2	in-bracket -> in-bracket atoms
atom_bar_2 -> atom_bar	in-bracket -> in-bracket atoms
atom_bar_2 -> atom_bar_2	in-bracket -> in-bracket atoms
atom_bal -> anything	in-bracket -> * atoms
atom_bal_2 -> anything	in-bracket -> * atoms
atom_bar -> anything	in-bracket -> * atoms
atom_bar_2 -> anything	in-bracket -> * atoms
anything -> atom_bal	* -> in-bracket atoms
anything -> atom_bal_2	* -> in-bracket atoms
anything -> atom_bar	* -> in-bracket atoms
anything -> atom_bar_2	* -> in-bracket atoms
atom_bal -> aromatic_bond	in-bracket atom -> bond
atom_bal -> double_bond	in-bracket atom -> bond
atom_bal -> no_bond	in-bracket atom -> bond
atom_bal -> quadruple_bond	in-bracket atom -> bond
atom_bal -> single_bond	in-bracket atom -> bond
atom_bal -> triple_bond	in-bracket atom -> bond
atom_bal_2 -> aromatic_bond	in-bracket atom -> bond
atom_bal_2 -> double_bond	in-bracket atom -> bond
atom_bal_2 -> no_bond	in-bracket atom -> bond
atom_bal_2 -> quadruple_bond	in-bracket atom -> bond
atom_bal_2 -> single_bond	in-bracket atom -> bond
atom_bal_2 -> triple_bond	in-bracket atom -> bond
atom_bar -> aromatic_bond	in-bracket atom -> bond
atom_bar -> double_bond	in-bracket atom -> bond
atom_bar -> no_bond	in-bracket atom -> bond
atom_bar -> quadruple_bond	in-bracket atom -> bond
atom_bar -> single_bond	in-bracket atom -> bond
atom_bar -> triple_bond	in-bracket atom -> bond
atom_bar_2 -> aromatic_bond	in-bracket atom -> bond
atom_bar_2 -> double_bond	in-bracket atom -> bond
atom_bar_2 -> no_bond	in-bracket atom -> bond
atom_bar_2 -> quadruple_bond	in-bracket atom -> bond
atom_bar_2 -> single_bond	in-bracket atom -> bond
atom_bar_2 -> triple_bond	in-bracket atom -> bond
aromatic_bond -> atom_bal	bond -> in-bracket atom
aromatic_bond -> atom_bal_2	bond -> in-bracket atom
aromatic_bond -> atom_bar	bond -> in-bracket atom
aromatic_bond -> atom_bar_2	bond -> in-bracket atom
double_bond -> atom_bal	bond -> in-bracket atom
double_bond -> atom_bal_2	bond -> in-bracket atom
double_bond -> atom_bar	bond -> in-bracket atom
double_bond -> atom_bar_2	bond -> in-bracket atom
no_bond -> atom_bal	bond -> in-bracket atom
no_bond -> atom_bal_2	bond -> in-bracket atom
no_bond -> atom_bar	bond -> in-bracket atom
no_bond -> atom_bar_2	bond -> in-bracket atom
quadruple_bond -> atom_bal	bond -> in-bracket atom
quadruple_bond -> atom_bal_2	bond -> in-bracket atom
quadruple_bond -> atom_bar	bond -> in-bracket atom
quadruple_bond -> atom_bar_2	bond -> in-bracket atom
single_bond -> atom_bal	bond -> in-bracket atom
single_bond -> atom_bal_2	bond -> in-bracket atom
single_bond -> atom_bar	bond -> in-bracket atom
single_bond -> atom_bar_2	bond -> in-bracket atom
triple_bond -> atom_bal	bond -> in-bracket atom
triple_bond -> atom_bal_2	bond -> in-bracket atom
triple_bond -> atom_bar	bond -> in-bracket atom
triple_bond -> atom_bar_2	bond -> in-bracket atom
aromatic_bond -> atom_oal	aromatic bond -> aliphatic atom
aromatic_bond -> atom_oal_2	aromatic bond -> aliphatic atom
atom_oal -> aromatic_bond	aliphatic atom -> aromatic bond
atom_oal_2 -> aromatic_bond	aliphatic atom -> aromatic bond
aromatic_bond -> e_bracket	bond in brackets
double_bond -> e_bracket	bond in brackets
no_bond -> e_bracket	bond in brackets
quadruple_bond -> e_bracket	bond in brackets
single_bond -> e_bracket	bond in brackets
triple_bond -> e_bracket	bond in brackets
atom_bal -> bm_ibe	in-bracket atom -> modifier
atom_bal -> bm_ibi	in-bracket atom -> modifier
atom_bal -> bm_ire_2	in-bracket atom -> modifier
atom_bal -> bm_ire_4	in-bracket atom -> modifier
atom_bal -> bm_iri	in-bracket atom -> modifier
atom_bal -> bm_iri_3	in-bracket atom -> modifier
atom_bal -> bm_tbe_2	in-bracket atom -> modifier
atom_bal -> bm_tbi	in-bracket atom -> modifier
atom_bal -> bm_tre_2	in-bracket atom -> modifier
atom_bal -> bm_tre_4	in-bracket atom -> modifier
atom_bal -> bm_tri	in-bracket atom -> modifier
atom_bal -> bm_tri_3	in-bracket atom -> modifier
atom_bal -> l_ct	in-bracket atom -> modifier
atom_bal -> r_ct	in-bracket atom -> modifier
atom_bal_2 -> bm_ibe	in-bracket atom -> modifier
atom_bal_2 -> bm_ibi	in-bracket atom -> modifier
atom_bal_2 -> bm_ire_2	in-bracket atom -> modifier
