left	right	classes
1	1	bm_iri - bm_iri, bm_iri - bm_tri, bm_tri - bm_iri, bm_tri - bm_tri
1	?	bm_iri - anything, bm_iri - bm_ibi, bm_iri - bm_tbi, bm_iri - bracket, bm_iri - ct, bm_tri - anything, bm_tri - bm_ibi, bm_tri - bm_tbi, bm_tri - bracket, bm_tri - ct
1	?1	bm_iri - bm_ire_2, bm_iri - bm_tre_2, bm_tri - bm_ire_2, bm_tri - bm_tre_2
1	?11	bm_iri - bm_iri_3, bm_iri - bm_tri_3, bm_tri - bm_iri_3, bm_tri - bm_tri_3
1	??	bm_iri - bm_ibe_2, bm_iri - bm_tbe_2, bm_tri - bm_ibe_2, bm_tri - bm_tbe_2
1	??11	bm_iri - bm_ire_4, bm_iri - bm_tre_4, bm_tri - bm_ire_4, bm_tri - bm_tre_4
1	A	bm_iri - atom_oal, bm_tri - atom_oal, isotope - atom_bal, isotope_m - atom_bal
1	Aa	bm_iri - atom_oal_2, bm_tri - atom_oal_2, isotope - atom_bal_2, isotope_m - atom_bal_2
1	a	bm_iri - atom_oar, bm_tri - atom_oar, isotope - atom_bar, isotope_m - atom_bar
1	aa	isotope - atom_bar_2, isotope_m - atom_bar_2
11	A	isotope_m - atom_bal
11	Aa	isotope_m - atom_bal_2
11	a	isotope_m - atom_bar
11	aa	isotope_m - atom_bar_2
111	A	isotope_m - atom_bal
111	Aa	isotope_m - atom_bal_2
111	a	isotope_m - atom_bar
111	aa	isotope_m - atom_bar_2
?	1	anything - bm_iri, anything - bm_tri, bm_ibi - bm_iri, bm_ibi - bm_tri, bm_tbi - bm_iri, bm_tbi - bm_tri, bracket - bm_iri, bracket - bm_tri, ct - bm_iri, ct - bm_tri
?	?	anything - anything, anything - aromatic_bond, anything - bm_ibi, anything - bm_tbi, anything - bracket, anything - ct, anything - double_bond, anything - no_bond, anything - quadruple_bond, anything - single_bond, anything - triple_bond, aromatic_bond - anything, aromatic_bond - bracket, bm_ibi - anything, bm_ibi - bm_ibi, bm_ibi - bracket, bm_ibi - ct, bm_tbi - anything, bm_tbi - bm_ibi, bm_tbi - bm_tbi, bm_tbi - bracket, bm_tbi - ct, bracket - anything, bracket - aromatic_bond, bracket - bm_ibi, bracket - bm_tbi, bracket - ct, bracket - double_bond, bracket - no_bond, bracket - quadruple_bond, bracket - single_bond, bracket - triple_bond, charge - bracket, chiral - bracket, chiral - charge, ct - anything, ct - bm_ibi, ct - bm_tbi, ct - bracket, double_bond - anything, double_bond - bracket, no_bond - anything, no_bond - bracket, quadruple_bond - anything, quadruple_bond - bracket, single_bond - anything, single_bond - bracket, triple_bond - anything, triple_bond - bracket
?	?1	anything - bm_ire_2, anything - bm_tre_2, bm_ibi - bm_ire_2, bm_ibi - bm_tre_2, bm_tbi - bm_ire_2, bm_tbi - bm_tre_2, bracket - bm_ire_2, bracket - bm_tre_2, charge - class_m, chiral - charge_m, chiral - class_m, ct - bm_ire_2, ct - bm_tre_2
?	?11	anything - bm_iri_3, anything - bm_tri_3, bm_ibi - bm_iri_3, bm_ibi - bm_tri_3, bm_tbi - bm_iri_3, bm_tbi - bm_tri_3, bracket - bm_iri_3, bracket - bm_tri_3, charge - class_m, chiral - charge_m, chiral - class_m, ct - bm_iri_3, ct - bm_tri_3
?	?111	charge - class_m, chiral - class_m
?	??	anything - bm_ibe_2, anything - bm_tbe_2, bm_ibi - bm_ibe_2, bm_tbi - bm_ibe_2, bm_tbi - bm_tbe_2, bracket - bm_ibe_2, bracket - bm_tbe_2, chiral - charge_2, ct - bm_ibe_2, ct - bm_tbe_2
?	??11	anything - bm_ire_4, anything - bm_tre_4, bm_ibi - bm_ire_4, bm_ibi - bm_tre_4, bm_tbi - bm_ire_4, bm_tbi - bm_tre_4, bracket - bm_ire_4, bracket - bm_tre_4, ct - bm_ire_4, ct - bm_tre_4
?	A	anything - atom_oal, bm_ibi - atom_oal, bm_tbi - atom_oal, bracket - atom_bal, bracket - atom_oal, chiral - hydro, ct - atom_oal, double_bond - atom_oal, no_bond - atom_oal, quadruple_bond - atom_oal, single_bond - atom_oal, triple_bond - atom_oal
?	A1	chiral - hydro_2
?	Aa	anything - atom_oal_2, bm_ibi - atom_oal_2, bm_tbi - atom_oal_2, bracket - atom_bal_2, bracket - atom_oal_2, ct - atom_oal_2, double_bond - atom_oal_2, no_bond - atom_oal_2, quadruple_bond - atom_oal_2, single_bond - atom_oal_2, triple_bond - atom_oal_2
?	a	anything - atom_oar, aromatic_bond - atom_oar, bm_ibi - atom_oar, bm_tbi - atom_oar, bracket - atom_bar, bracket - atom_oar, ct - atom_oar, double_bond - atom_oar, no_bond - atom_oar, quadruple_bond - atom_oar, single_bond - atom_oar, triple_bond - atom_oar
?	aa	bracket - atom_bar_2
?1	1	bm_ire_2 - bm_iri, bm_ire_2 - bm_tri, bm_tre_2 - bm_iri, bm_tre_2 - bm_tri
