symbol_id	symbols
17	Ac
18	Ag
19	Al
20	Am
21	Ar
22	As
23	At
24	Au
25	Ba
26	Be
27	Bh
28	Bi
29	Bk
30	Br
31	Ca
32	Cd
33	Ce
34	Cf
35	Cl
36	Cm
37	Cn
38	Co
39	Cr
40	Cs
41	Cu
42	Db
43	Ds
44	Dy
45	Er
46	Es
47	Eu
48	Fe
49	Fl
50	Fm
51	Fr
52	Ga
53	Gd
54	Ge
55	He
56	Hf
57	Hg
58	Ho
59	Hs
60	In
61	Ir
62	Kr
63	La
64	Li
65	Lr
66	Lu
67	Lv
68	Md
69	Mg
70	Mn
71	Mo
72	Mt
73	Na
74	Nb
75	Nd
76	Ne
77	Ni
78	No
79	Np
80	Os
81	Pa
82	Pb
83	Pd
84	Pm
85	Po
86	Pr
87	Pt
88	Pu
89	Ra
90	Rb
91	Re
92	Rf
93	Rg
94	Rh
95	Rn
96	Ru
97	Sb
98	Sc
99	Se
100	Sg
101	Si
102	Sm
103	Sn
104	Sr
105	Ta
106	Tb
107	Tc
108	Te
109	Th
110	Ti
111	Tl
112	Tm
113	Xe
114	Yb
115	Zn
116	Zr
123	as
124	se
125	te
134	Br
135	Cl
142	(-
143	(#
144	($
145	(.
146	(:
147	(=
149	-0
150	-1
151	-2
152	-3
153	-4
154	-5
155	-6
156	-7
157	-8
158	-9
159	#0
160	#1
161	#2
162	#3
163	#4
164	#5
165	#6
166	#7
167	#8
168	#9
169	$0
170	$1
171	$2
172	$3
173	$4
174	$5
175	$6
176	$7
177	$8
178	$9
179	.0
180	.1
181	.2
182	.3
183	.4
184	.5
185	.6
186	.7
187	.8
188	.9
189	:0
190	:1
191	:2
192	:3
193	:4
194	:5
195	:6
196	:7
197	:8
198	:9
199	=0
200	=1
201	=2
202	=3
203	=4
204	=5
205	=6
206	=7
207	=8
208	=9
378	)-
379	)#
380	)$
381	).
382	):
383	)=
385	-0
386	-1
387	-2
388	-3
389	-4
390	-5
391	-6
392	-7
393	-8
394	-9
395	#0
396	#1
397	#2
398	#3
399	#4
400	#5
401	#6
402	#7
403	#8
404	#9
405	$0
406	$1
407	$2
408	$3
409	$4
410	$5
411	$6
412	$7
413	$8
414	$9
415	.0
416	.1
417	.2
418	.3
419	.4
420	.5
421	.6
422	.7
423	.8
424	.9
425	:0
426	:1
427	:2
428	:3
429	:4
430	:5
431	:6
432	:7
433	:8
434	:9
435	=0
436	=1
437	=2
438	=3
439	=4
440	=5
441	=6
442	=7
443	=8
444	=9
616	--
617	++
618	-1
625	-2
626	-3
627	-4
628	-5
629	-6
630	-7
631	-8
632	-9
633	+1
640	+2
641	+3
642	+4
643	+5
644	+6
645	+7
646	+8
647	+9
649	@@
707	:0
808	:1
909	:2
1010	:3
1111	:4
1212	:5
1313	:6
1414	:7
1515	:8
1616	:9
1720	H2
1721	H3
1722	H4
1723	H5
1724	H6
1725	H7
1726	H8
1727	H9
1737	00
1738	01
1749	02
1760	03
1771	04
1782	05
1793	06
1804	07
1815	08
1826	09
1837	10
1848	11
1859	12
1870	13
1881	14
1892	15
1903	16
1914	17
1925	18
1936	19
1947	20
1958	21
1969	22
1980	23
1991	24
2002	25
2013	26
2024	27
2035	28
2046	29
2057	30
2068	31
2079	32
2090	33
2101	34
2112	35
2123	36
2134	37
2145	38
2156	39
2167	40
2178	41
2189	42
2200	43
2211	44
2222	45
2233	46
2244	47
2255	48
2266	49
2277	50
2288	51
2299	52
2310	53
2321	54
2332	55
2343	56
2354	57
2365	58
2376	59
2387	60
2398	61
2409	62
2420	63
2431	64
2442	65
2453	66
2464	67
2475	68
2486	69
2497	70
2508	71
2519	72
2530	73
2541	74
2552	75
2563	76
2574	77
2585	78
2596	79
2607	80
2618	81
2629	82
2640	83
2651	84
2662	85
2673	86
2684	87
2695	88
2706	89
2717	90
2728	91
2739	92
2750	93
2761	94
2772	95
2783	96
2794	97
2805	98
2816	99
