left_charClass	right_charClass	example_pair	isOK
w_aromatic_bond	w_atom_oal	:B	y
w_aromatic_bond	s_atom_oal	:B	y
w_bm_ibi	s_bm_tbe	()	n
e_bm_ibe	w_bm_iri	0	n
e_bm_ibe	w_bm_tri	0	n
e_bm_ire	w_bm_iri	0	n
w_bm_ibi	w_bm_iri	(0	n
w_bm_ibi	w_bm_tri	(0	n
w_bm_ibi	s_bm_iri	(%	n
w_bm_ibi	s_bm_tri	(%	n
w_bm_tbi	w_bm_iri	)0	n
w_bm_tbi	w_bm_tri	)0	n
w_bm_tbi	s_bm_iri	)%	n
w_bm_tbi	s_bm_tri	)%	n
e_bm_ibe	w_bm_tbi	-)	n
w_bm_ibi	w_bm_tbi	()	n
r_class	s_class	0:00	n
e_atom_bal	s_bracket	a[	n
e_atom_bar	s_bracket	e[	n
e_atom_oal	s_atom_oal	lB	y
e_bm_ibe	s_bm_ire	--	n
e_bm_ibe	s_bm_ire_4	--	n
e_bm_ibe	s_bm_tbe	-)	n
e_bm_ibe	s_bm_tre	--	n
e_bm_ibe	s_bm_tre_4	--	n
e_bm_tbe	s_bm_ire	--	n
e_bm_tbe	s_bm_ire_4	--	n
e_bm_tbe	s_bm_tre	--	n
e_bm_tbe	s_bm_tre_4	--	n
e_bm_ibe	s_bm_iri	-%	q
e_bm_ibe	s_bm_tri	-%	q
e_bm_ibe	l_ct	-/	n
e_bm_ibe	r_ct	-/	n
e_bm_tbe	l_ct	-/	n
e_bm_tbe	r_ct	-/	n
l_ct	s_bm_ire	/-	q
r_ct	s_bm_ire	/-	q
l_ct	s_bm_ire_4	/-	q
r_ct	s_bm_ire_4	/-	q
l_ct	s_bm_tre	/-	q
r_ct	s_bm_tre	/-	q
l_ct	s_bm_tre_4	/-	q
r_ct	s_bm_tre_4	/-	q
e_bm_tbe	s_bm_tbe	-)	q
l_ct	w_atom_oar	/b	y
r_ct	w_atom_oar	/b	y
l_ct	w_atom_oal	/B	y
r_ct	w_atom_oal	/B	y
l_ct	s_atom_oal	/B	y
r_ct	s_atom_oal	/B	y
w_atom_oar	l_ct	b/	y
w_atom_oar	r_ct	b/	y
w_atom_oal	l_ct	B/	y
w_atom_oal	r_ct	B/	y
l_ct	w_bm_iri	/0	y
r_ct	w_bm_iri	/0	y
l_ct	s_bm_iri	/%	y
r_ct	s_bm_iri	/%	y
l_ct	s_bm_tri	/%	y
r_ct	s_bm_tri	/%	y
w_bm_ibi	l_ct	(/	y
w_bm_ibi	r_ct	(/	y
w_bm_iri	l_ct	0/	y
w_bm_iri	r_ct	0/	y
w_bm_tri	l_ct	0/	y
w_bm_tri	r_ct	0/	y
w_bm_tbi	l_ct	)/	y
w_bm_tbi	r_ct	)/	y
s_bracket	w_isotope	[0	y
s_bracket	s_isotope	[0	y
r_chiral	e_bracket	0]	y
w_hydro	e_bracket	H]	y
e_hydro	e_bracket	0]	y
e_charge	e_bracket	-]	y
r_charge	e_bracket	0]	y
r_class	e_bracket	0]	y
e_chiral	e_bracket	@]	y
s_bracket	w_atom_bar	[b	y
s_bracket	s_atom_bal	[A	y
s_bracket	s_atom_bar	[a	y
s_bracket	w_atom_bal	[B	y
w_atom_bar	e_bracket	b]	y
e_atom_bal	e_bracket	a]	y
e_atom_bar	e_bracket	e]	y
w_atom_bal	e_bracket	B]	y
e_bracket	w_atom_oar	]b	y
e_bracket	w_atom_oal	]B	y
w_atom_oar	s_bracket	b[	y
w_atom_oal	s_bracket	B[	y
