"left_charClass"	"right_charClass"	"example_pair"
"l_ct"	"w_atom_oar"	"/b"
"r_ct"	"w_atom_oar"	"/b"
"l_ct"	"w_atom_oal"	"/B"
"r_ct"	"w_atom_oal"	"/B"
"l_ct"	"s_atom_oal"	"/B"
"r_ct"	"s_atom_oal"	"/B"
"w_atom_oar"	"l_ct"	"b/"
"w_atom_oar"	"r_ct"	"b/"
"w_atom_oal"	"l_ct"	"B/"
"w_atom_oal"	"r_ct"	"B/"
"l_ct"	"s_bm_ire"	"/-"
"r_ct"	"s_bm_ire"	"/-"
"l_ct"	"s_bm_ire_4"	"/-"
"r_ct"	"s_bm_ire_4"	"/-"
"l_ct"	"s_bm_tre"	"/-"
"r_ct"	"s_bm_tre"	"/-"
"l_ct"	"s_bm_tre_4"	"/-"
"r_ct"	"s_bm_tre_4"	"/-"
"l_ct"	"w_bm_iri"	"/0"
"r_ct"	"w_bm_iri"	"/0"
"l_ct"	"s_bm_iri"	"/%"
"r_ct"	"s_bm_iri"	"/%"
"l_ct"	"s_bm_tri"	"/%"
"r_ct"	"s_bm_tri"	"/%"
"w_bm_ibi"	"l_ct"	"(/"
"w_bm_ibi"	"r_ct"	"(/"
"w_bm_iri"	"l_ct"	"0/"
"w_bm_iri"	"r_ct"	"0/"
"w_bm_tri"	"l_ct"	"0/"
"w_bm_tri"	"r_ct"	"0/"
"w_bm_tbi"	"l_ct"	")/"
"w_bm_tbi"	"r_ct"	")/"
"s_bracket"	"w_isotope"	"[0"
"s_bracket"	"s_isotope"	"[0"
"r_chiral"	"e_bracket"	"0]"
"w_hydro"	"e_bracket"	"H]"
"e_hydro"	"e_bracket"	"0]"
"e_charge"	"e_bracket"	"-]"
"r_charge"	"e_bracket"	"0]"
"r_class"	"e_bracket"	"0]"
"e_chiral"	"e_bracket"	"@]"
"s_bracket"	"w_atom_bar"	"[b"
"s_bracket"	"s_atom_bal"	"[A"
"s_bracket"	"s_atom_bar"	"[a"
"s_bracket"	"w_atom_bal"	"[B"
"w_atom_bar"	"e_bracket"	"b]"
"e_atom_bal"	"e_bracket"	"a]"
"e_atom_bar"	"e_bracket"	"e]"
"w_atom_bal"	"e_bracket"	"B]"
"e_bracket"	"w_atom_oar"	"]b"
"e_bracket"	"w_atom_oal"	"]B"
"w_atom_oar"	"s_bracket"	"b["
"w_atom_oal"	"s_bracket"	"B["
"w_single_bond"	"s_bracket"	"-["
"w_triple_bond"	"s_bracket"	"#["
"w_quadruple_bond"	"s_bracket"	"$["
"w_aromatic_bond"	"s_bracket"	":["
"w_no_bond"	"s_bracket"	".["
"w_bm_ibi"	"s_bracket"	"(["
"w_bm_iri"	"s_bracket"	"0["
"w_bm_tri"	"s_bracket"	"0["
"w_bm_tbi"	"s_bracket"	")["
"e_bracket"	"w_single_bond"	"]-"
"e_bracket"	"w_triple_bond"	"]#"
"e_bracket"	"w_quadruple_bond"	"]$"
"e_bracket"	"w_aromatic_bond"	"]:"
"e_bracket"	"w_no_bond"	"]."
"e_bracket"	"w_bm_ibi"	"]("
"e_bracket"	"w_bm_iri"	"]0"
"e_bracket"	"w_bm_tri"	"]0"
"e_bracket"	"w_bm_tbi"	"])"
"s_bracket"	"w_anything"	"[*"
"e_bracket"	"w_anything"	"]*"
"w_anything"	"s_bracket"	"*["
"w_anything"	"e_bracket"	"*]"
"w_isotope"	"w_atom_bar"	"0b"
"w_isotope"	"s_atom_bal"	"0A"
"r_isotope"	"w_atom_bar"	"0b"
"w_isotope"	"s_atom_bar"	"0a"
"w_isotope"	"w_atom_bal"	"0B"
"r_isotope"	"w_atom_bal"	"0B"
"w_atom_bar"	"s_chiral_m"	"b@"
"w_atom_bal"	"s_chiral_m"	"B@"
"w_atom_bar"	"w_hydro"	"bH"
"w_atom_bar"	"s_hydro"	"bH"
"e_atom_bal"	"w_hydro"	"aH"
"e_atom_bar"	"w_hydro"	"eH"
"w_atom_bal"	"w_hydro"	"BH"
"w_atom_bal"	"s_hydro"	"BH"
"r_chiral"	"w_hydro"	"0H"
"w_chiral"	"w_hydro"	"@H"
"w_chiral"	"s_hydro"	"@H"
"e_chiral"	"w_hydro"	"@H"
"w_atom_bar"	"w_charge"	"b-"
"w_atom_bar"	"s_charge"	"b-"
"w_atom_bar"	"s_charge_m"	"b-"
"e_atom_bal"	"w_charge"	"a-"
"e_atom_bar"	"w_charge"	"e-"
"w_atom_bal"	"w_charge"	"B-"
"w_atom_bal"	"s_charge"	"B-"
"w_atom_bal"	"s_charge_m"	"B-"
"r_chiral"	"w_charge"	"0-"
"w_hydro"	"w_charge"	"H-"
"w_hydro"	"s_charge"	"H-"
"w_hydro"	"s_charge_m"	"H-"
"e_hydro"	"w_charge"	"0-"
"w_chiral"	"w_charge"	"@-"
"w_chiral"	"s_charge"	"@-"
"w_chiral"	"s_charge_m"	"@-"
"e_chiral"	"w_charge"	"@-"
"w_atom_bar"	"s_class"	"b:"
"w_atom_bal"	"s_class"	"B:"
"w_hydro"	"s_class"	"H:"
"w_charge"	"s_class"	"-:"
"w_chiral"	"s_class"	"@:"
"w_atom_bar"	"w_chiral"	"b@"
"w_atom_bar"	"s_chiral"	"b@"
"e_atom_bal"	"w_chiral"	"a@"
"e_atom_bar"	"w_chiral"	"e@"
"w_atom_bal"	"w_chiral"	"B@"
"w_atom_bal"	"s_chiral"	"B@"
"w_atom_oar"	"w_atom_oar"	"bb"
"w_atom_oal"	"w_atom_oar"	"Bb"
"e_atom_oal"	"w_atom_oar"	"lb"
"w_anything"	"w_atom_oar"	"*b"
"w_single_bond"	"w_atom_oar"	"-b"
"e_bm_ibe"	"w_atom_oar"	"-b"
"e_bm_ire"	"w_atom_oar"	"0b"
