left	right	left_type	right_type
atom_oar	atom_oar	atom__symbol	atom__symbol
atom_oar	atom_oal	atom__symbol	atom__symbol
atom_oar	atom_oal_2	atom__symbol	atom__symbol
atom_oar	anything	atom__symbol	anything__symbol
atom_oar	bracket	atom__symbol	bracket__symbol
atom_oar	single_bond	atom__symbol	bond__symbol
atom_oar	double_bond	atom__symbol	bond__symbol
atom_oar	triple_bond	atom__symbol	bond__symbol
atom_oar	quadruple_bond	atom__symbol	bond__symbol
atom_oar	aromatic_bond	atom__symbol	bond__symbol
atom_oar	no_bond	atom__symbol	bond__symbol
atom_oar	bm_ibi	atom__symbol	modifier__symbol
atom_oar	bm_iri	atom__symbol	modifier__symbol
atom_oar	bm_tbi	atom__symbol	modifier__symbol
atom_oar	bm_tri	atom__symbol	modifier__symbol
atom_oar	bm_ibe_2	atom__symbol	modifier__symbol
atom_oar	bm_ire_2	atom__symbol	modifier__symbol
atom_oar	bm_iri_3	atom__symbol	modifier__symbol
atom_oar	bm_ire_4	atom__symbol	modifier__symbol
atom_oar	bm_tbe_2	atom__symbol	modifier__symbol
atom_oar	bm_tre_2	atom__symbol	modifier__symbol
atom_oar	bm_tre_4	atom__symbol	modifier__symbol
atom_oar	bm_tri_3	atom__symbol	modifier__symbol
atom_oar	ct	atom__symbol	cis_trans__symbol
atom_oal	atom_oar	atom__symbol	atom__symbol
atom_oal	atom_oal	atom__symbol	atom__symbol
atom_oal	atom_oal_2	atom__symbol	atom__symbol
atom_oal	anything	atom__symbol	anything__symbol
atom_oal	bracket	atom__symbol	bracket__symbol
atom_oal	single_bond	atom__symbol	bond__symbol
atom_oal	double_bond	atom__symbol	bond__symbol
atom_oal	triple_bond	atom__symbol	bond__symbol
atom_oal	quadruple_bond	atom__symbol	bond__symbol
atom_oal	no_bond	atom__symbol	bond__symbol
atom_oal	bm_ibi	atom__symbol	modifier__symbol
atom_oal	bm_iri	atom__symbol	modifier__symbol
atom_oal	bm_tbi	atom__symbol	modifier__symbol
atom_oal	bm_tri	atom__symbol	modifier__symbol
atom_oal	bm_ibe_2	atom__symbol	modifier__symbol
atom_oal	bm_ire_2	atom__symbol	modifier__symbol
atom_oal	bm_iri_3	atom__symbol	modifier__symbol
atom_oal	bm_ire_4	atom__symbol	modifier__symbol
atom_oal	bm_tbe_2	atom__symbol	modifier__symbol
atom_oal	bm_tre_2	atom__symbol	modifier__symbol
atom_oal	bm_tre_4	atom__symbol	modifier__symbol
atom_oal	bm_tri_3	atom__symbol	modifier__symbol
atom_oal	ct	atom__symbol	cis_trans__symbol
atom_bar	bracket	atom__symbol	bracket__symbol
atom_bar	chiral	atom__symbol	features__symbol
atom_bar	chiral_2	atom__symbol	features__symbol
atom_bar	chiral_m	atom__symbol	features__symbol
atom_bar	hydro	atom__symbol	features__symbol
atom_bar	hydro_2	atom__symbol	features__symbol
atom_bar	charge	atom__symbol	features__symbol
atom_bar	charge_2	atom__symbol	features__symbol
atom_bar	charge_m	atom__symbol	features__symbol
atom_bar	class_m	atom__symbol	features__symbol
atom_bal	bracket	atom__symbol	bracket__symbol
atom_bal	chiral	atom__symbol	features__symbol
atom_bal	chiral_2	atom__symbol	features__symbol
atom_bal	chiral_m	atom__symbol	features__symbol
atom_bal	hydro	atom__symbol	features__symbol
atom_bal	hydro_2	atom__symbol	features__symbol
atom_bal	charge	atom__symbol	features__symbol
atom_bal	charge_2	atom__symbol	features__symbol
atom_bal	charge_m	atom__symbol	features__symbol
atom_bal	class_m	atom__symbol	features__symbol
atom_oal_2	atom_oar	atom__symbol	atom__symbol
atom_oal_2	atom_oal	atom__symbol	atom__symbol
atom_oal_2	atom_oal_2	atom__symbol	atom__symbol
atom_oal_2	anything	atom__symbol	anything__symbol
atom_oal_2	bracket	atom__symbol	bracket__symbol
atom_oal_2	single_bond	atom__symbol	bond__symbol
atom_oal_2	double_bond	atom__symbol	bond__symbol
atom_oal_2	triple_bond	atom__symbol	bond__symbol
atom_oal_2	quadruple_bond	atom__symbol	bond__symbol
atom_oal_2	no_bond	atom__symbol	bond__symbol
atom_oal_2	bm_ibi	atom__symbol	modifier__symbol
atom_oal_2	bm_iri	atom__symbol	modifier__symbol
atom_oal_2	bm_tbi	atom__symbol	modifier__symbol
atom_oal_2	bm_tri	atom__symbol	modifier__symbol
atom_oal_2	bm_ibe_2	atom__symbol	modifier__symbol
atom_oal_2	bm_ire_2	atom__symbol	modifier__symbol
atom_oal_2	bm_iri_3	atom__symbol	modifier__symbol
atom_oal_2	bm_ire_4	atom__symbol	modifier__symbol
atom_oal_2	bm_tbe_2	atom__symbol	modifier__symbol
atom_oal_2	bm_tre_2	atom__symbol	modifier__symbol
atom_oal_2	bm_tre_4	atom__symbol	modifier__symbol
atom_oal_2	bm_tri_3	atom__symbol	modifier__symbol
atom_oal_2	ct	atom__symbol	cis_trans__symbol
atom_bar_2	atom_bar_2	atom__symbol	atom__symbol
atom_bar_2	bracket	atom__symbol	bracket__symbol
atom_bar_2	chiral	atom__symbol	features__symbol
atom_bar_2	chiral_2	atom__symbol	features__symbol
atom_bar_2	chiral_m	atom__symbol	features__symbol
atom_bar_2	hydro	atom__symbol	features__symbol
atom_bar_2	hydro_2	atom__symbol	features__symbol
atom_bar_2	charge	atom__symbol	features__symbol
atom_bar_2	charge_2	atom__symbol	features__symbol
atom_bar_2	charge_m	atom__symbol	features__symbol
atom_bar_2	class_m	atom__symbol	features__symbol
atom_bal_2	atom_bal_2	atom__symbol	atom__symbol
atom_bal_2	bracket	atom__symbol	bracket__symbol
atom_bal_2	chiral	atom__symbol	features__symbol
atom_bal_2	chiral_2	atom__symbol	features__symbol
atom_bal_2	chiral_m	atom__symbol	features__symbol
atom_bal_2	hydro	atom__symbol	features__symbol
